ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
69,2020,石家庄市,130100,河北省,东部,0,29341,6525,20311,2505,20611,1701,16324,2586,
70,2021,石家庄市,130100,河北省,东部,0,26351,7353,16332,2666,26830,2402,21683,2745,
71,2022,石家庄市,130100,河北省,东部,0,25479,7769,14954,2756,25465,3539,19018,2908,
72,2023,石家庄市,130100,河北省,东部,0,13622,6036,6205,1381,19725,4219,13096,2410,
73,2000,唐山市,130200,河北省,东部,0,423,47,239,137,463,38,256,169,
74,2001,唐山市,130200,河北省,东部,0,596,53,272,271,411,16,253,142,
75,2002,唐山市,130200,河北省,东部,0,515,76,288,151,586,16,264,306,
76,2003,唐山市,130200,河北省,东部,0,432,78,278,76,373,32,253,88,
77,2004,唐山市,130200,河北省,东部,0,502,92,327,83,321,30,246,45,
78,2005,唐山市,130200,河北省,东部,0,560,105,356,99,425,42,300,83,
79,2006,唐山市,130200,河北省,东部,0,699,166,425,108,504,45,364,95,
80,2007,唐山市,130200,河北省,东部,0,744,186,426,132,631,49,472,110,
81,2008,唐山市,130200,河北省,东部,0,1074,219,657,198,675,79,513,83,
82,2009,唐山市,130200,河北省,东部,0,1225,254,809,162,1003,85,698,220,
83,2010,唐山市,130200,河北省,东部,0,1449,376,894,179,1302,111,942,249,
84,2011,唐山市,130200,河北省,东部,0,1919,558,1081,280,1459,159,1045,255,
85,2012,唐山市,130200,河北省,东部,0,2414,776,1373,265,1550,215,1095,240,
86,2013,唐山市,130200,河北省,东部,0,2686,785,1567,334,2345,272,1737,336,
87,2014,唐山市,130200,河北省,东部,0,3247,929,1874,444,2533,273,1923,337,
88,2015,唐山市,130200,河北省,东部,0,4007,1114,2425,468,3122,410,2163,549,
89,2016,唐山市,130200,河北省,东部,0,4813,1541,2827,445,3374,540,2389,445,
90,2017,唐山市,130200,河北省,东部,0,6532,2021,3959,552,3669,639,2596,434,
91,2018,唐山市,130200,河北省,东部,0,8553,2547,5429,577,5253,693,4003,557,
92,2019,唐山市,130200,河北省,东部,0,12293,2890,8235,1168,7050,816,5434,800,
93,2020,唐山市,130200,河北省,东部,0,14236,3014,10053,1169,11356,785,9225,1346,
94,2021,唐山市,130200,河北省,东部,0,13515,2795,9479,1241,13859,1081,11572,1206,
95,2022,唐山市,130200,河北省,东部,0,12406,2760,8526,1120,12833,1550,10088,1195,
96,2023,唐山市,130200,河北省,东部,0,7160,2440,3921,799,11118,1726,8121,1271,
97,2000,秦皇岛市,130300,河北省,东部,0,190,32,132,26,177,10,140,27,
98,2001,秦皇岛市,130300,河北省,东部,0,249,56,170,23,177,21,139,17,
99,2002,秦皇岛市,130300,河北省,东部,0,267,58,184,25,214,19,166,29,
100,2003,秦皇岛市,130300,河北省,东部,0,338,77,189,72,253,21,184,48,
101,2004,秦皇岛市,130300,河北省,东部,0,383,82,197,104,278,38,156,84,
102,2005,秦皇岛市,130300,河北省,东部,0,375,101,217,57,271,25,176,70,
103,2006,秦皇岛市,130300,河北省,东部,0,500,170,267,63,301,31,217,53,
104,2007,秦皇岛市,130300,河北省,东部,0,549,181,288,80,378,35,284,59,
105,2008,秦皇岛市,130300,河北省,东部,0,682,232,332,118,474,63,350,61,
106,2009,秦皇岛市,130300,河北省,东部,0,968,306,557,105,559,72,358,129,
107,2010,秦皇岛市,130300,河北省,东部,0,1074,342,566,166,863,95,599,169,
108,2011,秦皇岛市,130300,河北省,东部,0,1184,420,567,197,1046,154,657,235,
109,2012,秦皇岛市,130300,河北省,东部,0,1798,683,927,188,959,191,618,150,
110,2013,秦皇岛市,130300,河北省,东部,0,1577,695,713,169,1444,208,1036,200,
111,2014,秦皇岛市,130300,河北省,东部,0,1792,761,857,174,1266,299,830,137,
112,2015,秦皇岛市,130300,河北省,东部,0,3789,1002,1334,1453,2918,462,1147,1309,
113,2016,秦皇岛市,130300,河北省,东部,0,4522,1377,1694,1451,3268,498,1435,1335,
114,2017,秦皇岛市,130300,河北省,东部,0,4316,1544,1817,955,3022,543,1351,1128,
115,2018,秦皇岛市,130300,河北省,东部,0,4769,2195,1825,749,2887,604,1738,545,
116,2019,秦皇岛市,130300,河北省,东部,0,5376,2323,2580,473,3171,698,1881,592,
117,2020,秦皇岛市,130300,河北省,东部,0,5512,2092,3056,364,4380,1155,2750,475,
118,2021,秦皇岛市,130300,河北省,东部,0,5606,2217,3034,355,5091,1185,3548,358,
119,2022,秦皇岛市,130300,河北省,东部,0,4899,2114,2396,389,5086,1425,3243,418,
120,2023,秦皇岛市,130300,河北省,东部,0,2628,1410,1035,183,3577,1181,2068,328,
121,2000,邯郸市,130400,河北省,东部,0,247,61,158,28,196,22,146,28,
122,2001,邯郸市,130400,河北省,东部,0,308,61,189,58,241,34,167,40,
123,2002,邯郸市,130400,河北省,东部,0,408,66,206,136,293,24,178,91,
124,2003,邯郸市,130400,河北省,东部,0,363,83,223,57,344,38,201,105,
125,2004,邯郸市,130400,河北省,东部,0,315,71,196,48,277,34,196,47,
126,2005,邯郸市,130400,河北省,东部,0,346,90,228,28,279,37,200,42,
127,2006,邯郸市,130400,河北省,东部,0,511,133,247,131,269,36,212,21,
128,2007,邯郸市,130400,河北省,东部,0,410,113,248,49,454,36,284,134,
129,2008,邯郸市,130400,河北省,东部,0,488,149,281,58,362,34,284,44,
130,2009,邯郸市,130400,河北省,东部,0,781,280,393,108,405,71,276,58,
131,2010,邯郸市,130400,河北省,东部,0,912,282,562,68,675,72,470,133,
132,2011,邯郸市,130400,河北省,东部,0,1029,369,562,98,901,127,675,99,
133,2012,邯郸市,130400,河北省,东部,0,1613,558,974,81,898,176,640,82,
134,2013,邯郸市,130400,河北省,东部,0,1791,678,988,125,1477,181,1216,80,
135,2014,邯郸市,130400,河北省,东部,0,2121,676,1198,247,1454,179,1083,192,
136,2015,邯郸市,130400,河北省,东部,0,4123,979,2659,485,3285,224,2614,447,
137,2016,邯郸市,130400,河北省,东部,0,3305,970,2032,303,2137,263,1530,344,
138,2017,邯郸市,130400,河北省,东部,0,4421,1097,2846,478,2415,339,1771,305,
139,2018,邯郸市,130400,河北省,东部,0,5738,1684,3512,542,3909,311,3062,536,
140,2019,邯郸市,130400,河北省,东部,0,7036,1419,4844,773,4036,311,3091,634,
141,2020,邯郸市,130400,河北省,东部,0,9291,1989,6486,816,6766,321,5586,859,
142,2021,邯郸市,130400,河北省,东部,0,8011,1809,5419,783,8483,554,7053,876,
