ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
1084,2003,朝阳市,211300,辽宁省,东部,0,91,30,49,12,48,6,21,21,
1085,2004,朝阳市,211300,辽宁省,东部,0,82,9,48,25,53,7,36,10,
1086,2005,朝阳市,211300,辽宁省,东部,0,93,23,52,18,90,12,46,32,
1087,2006,朝阳市,211300,辽宁省,东部,0,143,53,73,17,75,10,57,8,
1088,2007,朝阳市,211300,辽宁省,东部,0,117,45,52,20,101,9,76,16,
1089,2008,朝阳市,211300,辽宁省,东部,0,119,60,45,14,92,9,64,19,
1090,2009,朝阳市,211300,辽宁省,东部,0,193,53,113,27,78,13,51,14,
1091,2010,朝阳市,211300,辽宁省,东部,0,283,94,141,48,191,23,128,40,
1092,2011,朝阳市,211300,辽宁省,东部,0,257,66,171,20,272,42,184,46,
1093,2012,朝阳市,211300,辽宁省,东部,0,337,88,157,92,218,43,151,24,
1094,2013,朝阳市,211300,辽宁省,东部,0,450,187,233,30,363,37,226,100,
1095,2014,朝阳市,211300,辽宁省,东部,0,394,104,253,37,308,34,241,33,
1096,2015,朝阳市,211300,辽宁省,东部,0,527,140,356,31,406,32,337,37,
1097,2016,朝阳市,211300,辽宁省,东部,0,579,189,349,41,418,79,310,29,
1098,2017,朝阳市,211300,辽宁省,东部,0,783,191,515,77,410,53,295,62,
1099,2018,朝阳市,211300,辽宁省,东部,0,790,123,614,53,664,36,569,59,
1100,2019,朝阳市,211300,辽宁省,东部,0,1301,140,1084,77,699,33,609,57,
1101,2020,朝阳市,211300,辽宁省,东部,0,2572,242,2198,132,1513,19,1380,114,
1102,2021,朝阳市,211300,辽宁省,东部,0,2156,273,1741,142,2513,29,2332,152,
1103,2022,朝阳市,211300,辽宁省,东部,0,1699,229,1353,117,2024,50,1839,135,
1104,2023,朝阳市,211300,辽宁省,东部,0,811,109,591,111,1484,82,1253,149,
1105,2000,葫芦岛市,211400,辽宁省,东部,0,82,14,64,4,58,6,48,4,
1106,2001,葫芦岛市,211400,辽宁省,东部,0,78,13,64,1,78,5,69,4,
1107,2002,葫芦岛市,211400,辽宁省,东部,0,128,33,89,6,70,3,65,2,
1108,2003,葫芦岛市,211400,辽宁省,东部,0,166,45,114,7,92,4,82,6,
1109,2004,葫芦岛市,211400,辽宁省,东部,0,137,39,91,7,115,10,99,6,
1110,2005,葫芦岛市,211400,辽宁省,东部,0,155,44,92,19,113,20,81,12,
1111,2006,葫芦岛市,211400,辽宁省,东部,0,224,80,135,9,123,21,85,17,
1112,2007,葫芦岛市,211400,辽宁省,东部,0,214,80,123,11,189,16,167,6,
1113,2008,葫芦岛市,211400,辽宁省,东部,0,177,63,106,8,182,38,135,9,
1114,2009,葫芦岛市,211400,辽宁省,东部,0,221,81,127,13,170,47,113,10,
1115,2010,葫芦岛市,211400,辽宁省,东部,0,238,100,128,10,192,40,138,14,
1116,2011,葫芦岛市,211400,辽宁省,东部,0,248,116,119,13,193,48,131,14,
1117,2012,葫芦岛市,211400,辽宁省,东部,0,415,171,213,31,214,44,154,16,
1118,2013,葫芦岛市,211400,辽宁省,东部,0,444,174,234,36,373,49,274,50,
1119,2014,葫芦岛市,211400,辽宁省,东部,0,494,127,264,103,357,58,263,36,
1120,2015,葫芦岛市,211400,辽宁省,东部,0,772,145,322,305,625,86,301,238,
1121,2016,葫芦岛市,211400,辽宁省,东部,0,930,201,286,443,714,72,230,412,
1122,2017,葫芦岛市,211400,辽宁省,东部,0,954,257,371,326,647,37,260,350,
1123,2018,葫芦岛市,211400,辽宁省,东部,0,1294,299,532,463,882,24,489,369,
1124,2019,葫芦岛市,211400,辽宁省,东部,0,1422,331,772,319,864,42,431,391,
1125,2020,葫芦岛市,211400,辽宁省,东部,0,2097,303,910,884,1809,47,894,868,
1126,2021,葫芦岛市,211400,辽宁省,东部,0,1377,304,895,178,1404,75,1016,313,
1127,2022,葫芦岛市,211400,辽宁省,东部,0,1415,264,824,327,1344,105,1039,200,
1128,2023,葫芦岛市,211400,辽宁省,东部,0,595,137,328,130,1127,128,689,310,
1129,2000,长春市,220100,吉林省,中部,0,842,274,471,97,676,83,494,99,
1130,2001,长春市,220100,吉林省,中部,0,939,367,462,110,654,86,471,97,
1131,2002,长春市,220100,吉林省,中部,0,1294,531,500,263,770,80,445,245,
1132,2003,长春市,220100,吉林省,中部,0,1793,764,763,266,785,141,480,164,
1133,2004,长春市,220100,吉林省,中部,0,1483,611,655,217,1217,318,624,275,
1134,2005,长春市,220100,吉林省,中部,0,1685,752,764,169,1057,269,624,164,
1135,2006,长春市,220100,吉林省,中部,0,1894,747,928,219,1234,327,745,162,
1136,2007,长春市,220100,吉林省,中部,0,2227,1018,981,228,1520,319,1018,183,
1137,2008,长春市,220100,吉林省,中部,0,2507,1208,1072,227,1838,414,1206,218,
1138,2009,长春市,220100,吉林省,中部,0,3039,1380,1374,285,1892,569,1086,237,
1139,2010,长春市,220100,吉林省,中部,0,3725,1871,1530,324,2580,592,1567,421,
1140,2011,长春市,220100,吉林省,中部,0,4172,2123,1696,353,2987,816,1768,403,
1141,2012,长春市,220100,吉林省,中部,0,5189,2656,2062,471,3334,1234,1716,384,
1142,2013,长春市,220100,吉林省,中部,0,5590,2964,2232,394,4126,1230,2474,422,
1143,2014,长春市,220100,吉林省,中部,0,6620,3436,2836,348,4326,1142,2812,372,
1144,2015,长春市,220100,吉林省,中部,0,8935,4175,4215,545,5772,1694,3627,451,
1145,2016,长春市,220100,吉林省,中部,0,11483,5162,5432,889,7192,2031,4326,835,
1146,2017,长春市,220100,吉林省,中部,0,14526,6726,6929,871,8240,2613,4829,798,
1147,2018,长春市,220100,吉林省,中部,0,17610,8332,8380,898,10284,2414,7025,845,
1148,2019,长春市,220100,吉林省,中部,0,22175,9236,11673,1266,11935,2602,8426,907,
1149,2020,长春市,220100,吉林省,中部,0,23149,9056,12622,1471,17445,3469,12509,1467,
1150,2021,长春市,220100,吉林省,中部,0,26128,10668,13789,1671,21334,5038,14561,1735,
1151,2022,长春市,220100,吉林省,中部,0,27449,13635,12137,1677,21723,5612,14411,1700,
1152,2023,长春市,220100,吉林省,中部,0,17964,12021,5145,798,20037,6624,11870,1543,
1153,2000,吉林市,220200,吉林省,中部,0,286,72,170,44,257,15,208,34,
1154,2001,吉林市,220200,吉林省,中部,0,277,69,188,20,240,24,174,42,
1155,2002,吉林市,220200,吉林省,中部,0,282,78,176,28,205,18,171,16,
1156,2003,吉林市,220200,吉林省,中部,0,330,104,198,28,242,26,179,37,
1157,2004,吉林市,220200,吉林省,中部,0,373,107,209,57,233,30,169,34,
1158,2005,吉林市,220200,吉林省,中部,0,368,93,232,43,288,39,204,45,
1159,2006,吉林市,220200,吉林省,中部,0,491,159,274,58,316,47,227,42,
1160,2007,吉林市,220200,吉林省,中部,0,552,172,303,77,375,29,294,52,
1161,2008,吉林市,220200,吉林省,中部,0,487,149,270,68,474,62,349,63,
1162,2009,吉林市,220200,吉林省,中部,0,633,161,378,94,442,78,289,75,
1163,2010,吉林市,220200,吉林省,中部,0,680,229,359,92,628,63,420,145,
1164,2011,吉林市,220200,吉林省,中部,0,831,284,449,98,601,81,427,93,
1165,2012,吉林市,220200,吉林省,中部,0,903,321,502,80,667,124,453,90,
1166,2013,吉林市,220200,吉林省,中部,0,1025,385,522,118,838,125,616,97,
1167,2014,吉林市,220200,吉林省,中部,0,1560,507,934,119,920,105,684,131,
1168,2015,吉林市,220200,吉林省,中部,0,1760,539,987,234,1337,152,1008,177,
1169,2016,吉林市,220200,吉林省,中部,0,1876,643,1104,129,1415,215,1013,187,
1170,2017,吉林市,220200,吉林省,中部,0,1735,677,881,177,1154,213,815,126,
1171,2018,吉林市,220200,吉林省,中部,0,1881,785,931,165,1267,230,864,173,
1172,2019,吉林市,220200,吉林省,中部,0,2422,824,1398,200,1305,217,912,176,
1173,2020,吉林市,220200,吉林省,中部,0,3260,932,2000,328,2197,295,1615,287,
1174,2021,吉林市,220200,吉林省,中部,0,3290,1037,1773,480,3039,349,2267,423,
1175,2022,吉林市,220200,吉林省,中部,0,2974,989,1610,375,2844,486,1908,450,
1176,2023,吉林市,220200,吉林省,中部,0,1650,830,597,223,2263,514,1386,363,
1177,2000,四平市,220300,吉林省,中部,0,136,37,80,19,83,10,67,6,
1178,2001,四平市,220300,吉林省,中部,0,127,35,80,12,144,23,98,23,
1179,2002,四平市,220300,吉林省,中部,0,123,27,63,33,102,21,71,10,
1180,2003,四平市,220300,吉林省,中部,0,132,35,85,12,101,13,61,27,
1181,2004,四平市,220300,吉林省,中部,0,145,31,93,21,105,23,65,17,
1182,2005,四平市,220300,吉林省,中部,0,161,48,84,29,131,13,95,23,
1183,2006,四平市,220300,吉林省,中部,0,179,51,103,25,119,16,82,21,
1184,2007,四平市,220300,吉林省,中部,0,183,58,104,21,159,14,122,23,
1185,2008,四平市,220300,吉林省,中部,0,229,72,123,34,142,15,112,15,
1186,2009,四平市,220300,吉林省,中部,0,251,68,153,30,187,16,128,43,
1187,2010,四平市,220300,吉林省,中部,0,259,91,144,24,234,11,187,36,
1188,2011,四平市,220300,吉林省,中部,0,292,91,148,53,227,26,152,49,
1189,2012,四平市,220300,吉林省,中部,0,273,84,141,48,199,46,120,33,
1190,2013,四平市,220300,吉林省,中部,0,290,80,145,65,303,44,180,79,
1191,2014,四平市,220300,吉林省,中部,0,337,107,192,38,278,45,190,43,
1192,2015,四平市,220300,吉林省,中部,0,393,107,229,57,286,35,211,40,
1193,2016,四平市,220300,吉林省,中部,0,627,163,325,139,391,57,246,88,
1194,2017,四平市,220300,吉林省,中部,0,861,278,450,133,471,56,266,149,
1195,2018,四平市,220300,吉林省,中部,0,1075,458,521,96,635,50,472,113,
1196,2019,四平市,220300,吉林省,中部,0,1096,208,751,137,698,76,508,114,
1197,2020,四平市,220300,吉林省,中部,0,1463,302,1017,144,1108,81,885,142,
1198,2021,四平市,220300,吉林省,中部,0,1401,296,954,151,1436,106,1169,161,
1199,2022,四平市,220300,吉林省,中部,0,1251,210,924,117,1301,114,1048,139,
1200,2023,四平市,220300,吉林省,中部,0,566,149,362,55,1013,102,811,100,
1201,2000,辽源市,220400,吉林省,中部,0,47,7,35,5,48,3,39,6,
1202,2001,辽源市,220400,吉林省,中部,0,34,7,23,4,41,5,33,3,
1203,2002,辽源市,220400,吉林省,中部,0,37,7,28,2,34,4,26,4,
1204,2003,辽源市,220400,吉林省,中部,0,72,23,33,16,31,4,22,5,
1205,2004,辽源市,220400,吉林省,中部,0,48,18,21,9,45,2,29,14,
1206,2005,辽源市,220400,吉林省,中部,0,70,17,38,15,37,6,22,9,
1207,2006,辽源市,220400,吉林省,中部,0,55,13,40,2,54,10,31,13,
1208,2007,辽源市,220400,吉林省,中部,0,65,36,25,4,54,3,50,1,
1209,2008,辽源市,220400,吉林省,中部,0,47,11,26,10,41,5,31,5,
1210,2009,辽源市,220400,吉林省,中部,0,65,19,42,4,35,3,22,10,
1211,2010,辽源市,220400,吉林省,中部,0,98,22,64,12,66,5,55,6,
1212,2011,辽源市,220400,吉林省,中部,0,64,20,38,6,76,5,58,13,
1213,2012,辽源市,220400,吉林省,中部,0,98,30,56,12,64,13,45,6,
1214,2013,辽源市,220400,吉林省,中部,0,111,35,69,7,89,7,68,14,
1215,2014,辽源市,220400,吉林省,中部,0,88,32,42,14,84,7,65,12,
1216,2015,辽源市,220400,吉林省,中部,0,127,36,66,25,91,15,57,19,
1217,2016,辽源市,220400,吉林省,中部,0,232,55,147,30,127,17,86,24,
1218,2017,辽源市,220400,吉林省,中部,0,233,64,136,33,158,6,125,27,
1219,2018,辽源市,220400,吉林省,中部,0,268,103,131,34,187,13,139,35,
1220,2019,辽源市,220400,吉林省,中部,0,403,69,290,44,179,24,126,29,
1221,2020,辽源市,220400,吉林省,中部,0,454,99,295,60,358,14,282,62,
1222,2021,辽源市,220400,吉林省,中部,0,468,98,294,76,436,22,341,73,
1223,2022,辽源市,220400,吉林省,中部,0,475,112,308,55,468,27,377,64,
1224,2023,辽源市,220400,吉林省,中部,0,263,101,130,32,416,72,284,60,
1225,2000,通化市,220500,吉林省,中部,0,184,25,62,97,147,13,60,74,
1226,2001,通化市,220500,吉林省,中部,0,130,38,55,37,157,13,61,83,
1227,2002,通化市,220500,吉林省,中部,0,137,39,54,44,106,10,51,45,
1228,2003,通化市,220500,吉林省,中部,0,162,43,72,47,112,12,56,44,
1229,2004,通化市,220500,吉林省,中部,0,154,45,69,40,124,18,66,40,
1230,2005,通化市,220500,吉林省,中部,0,203,101,54,48,123,27,59,37,
1231,2006,通化市,220500,吉林省,中部,0,218,84,87,47,134,29,65,40,
1232,2007,通化市,220500,吉林省,中部,0,169,51,72,46,156,19,87,50,
1233,2008,通化市,220500,吉林省,中部,0,232,74,81,77,153,27,91,35,
1234,2009,通化市,220500,吉林省,中部,0,212,81,94,37,187,28,73,86,
1235,2010,通化市,220500,吉林省,中部,0,155,54,73,28,210,37,118,55,
1236,2011,通化市,220500,吉林省,中部,0,280,126,112,42,193,67,91,35,
1237,2012,通化市,220500,吉林省,中部,0,311,139,131,41,182,45,104,33,
1238,2013,通化市,220500,吉林省,中部,0,325,142,113,70,317,87,159,71,
1239,2014,通化市,220500,吉林省,中部,0,347,147,134,66,243,63,124,56,
1240,2015,通化市,220500,吉林省,中部,0,359,157,133,69,274,60,145,69,
1241,2016,通化市,220500,吉林省,中部,0,457,199,166,92,265,56,123,86,
1242,2017,通化市,220500,吉林省,中部,0,417,168,170,79,252,48,132,72,
1243,2018,通化市,220500,吉林省,中部,0,526,209,207,110,342,56,188,98,
1244,2019,通化市,220500,吉林省,中部,0,714,182,376,156,305,20,168,117,
1245,2020,通化市,220500,吉林省,中部,0,984,205,552,227,746,36,467,243,
1246,2021,通化市,220500,吉林省,中部,0,907,203,545,159,888,63,658,167,
1247,2022,通化市,220500,吉林省,中部,0,774,129,502,143,781,39,566,176,
1248,2023,通化市,220500,吉林省,中部,0,547,127,275,145,780,60,535,185,
1249,2000,白山市,220600,吉林省,中部,0,59,22,29,8,39,3,26,10,
1250,2001,白山市,220600,吉林省,中部,0,58,28,24,6,46,6,32,8,
1251,2002,白山市,220600,吉林省,中部,0,48,13,27,8,27,2,20,5,
1252,2003,白山市,220600,吉林省,中部,0,64,29,26,9,44,9,27,8,
1253,2004,白山市,220600,吉林省,中部,0,63,22,33,8,38,13,18,7,
1254,2005,白山市,220600,吉林省,中部,0,51,26,20,5,46,4,33,9,
1255,2006,白山市,220600,吉林省,中部,0,68,35,25,8,34,7,23,4,
1256,2007,白山市,220600,吉林省,中部,0,80,30,32,18,39,10,24,5,
1257,2008,白山市,220600,吉林省,中部,0,69,31,19,19,64,10,44,10,
1258,2009,白山市,220600,吉林省,中部,0,87,33,34,20,56,7,19,30,
1259,2010,白山市,220600,吉林省,中部,0,87,34,43,10,73,8,39,26,
1260,2011,白山市,220600,吉林省,中部,0,91,40,46,5,72,17,47,8,
1261,2012,白山市,220600,吉林省,中部,0,116,51,40,25,88,28,48,12,
1262,2013,白山市,220600,吉林省,中部,0,138,54,65,19,89,16,50,23,
1263,2014,白山市,220600,吉林省,中部,0,130,51,43,36,117,9,70,38,
1264,2015,白山市,220600,吉林省,中部,0,208,89,89,30,121,25,72,24,
1265,2016,白山市,220600,吉林省,中部,0,227,106,98,23,140,23,88,29,
1266,2017,白山市,220600,吉林省,中部,0,217,98,74,45,122,38,58,26,
1267,2018,白山市,220600,吉林省,中部,0,231,100,89,42,148,26,83,39,
1268,2019,白山市,220600,吉林省,中部,0,272,78,135,59,124,7,77,40,
1269,2020,白山市,220600,吉林省,中部,0,367,75,234,58,255,16,173,66,
1270,2021,白山市,220600,吉林省,中部,0,374,98,220,56,336,20,245,71,
1271,2022,白山市,220600,吉林省,中部,0,374,92,225,57,306,12,236,58,
1272,2023,白山市,220600,吉林省,中部,0,190,37,129,24,347,24,274,49,
1273,2000,松原市,220700,吉林省,中部,0,40,13,23,4,36,0,33,3,
1274,2001,松原市,220700,吉林省,中部,0,51,10,39,2,32,2,24,6,
1275,2002,松原市,220700,吉林省,中部,0,43,8,33,2,41,3,38,0,
1276,2003,松原市,220700,吉林省,中部,0,52,15,36,1,36,1,32,3,
1277,2004,松原市,220700,吉林省,中部,0,59,15,43,1,29,3,26,0,
1278,2005,松原市,220700,吉林省,中部,0,63,14,45,4,42,4,36,2,
1279,2006,松原市,220700,吉林省,中部,0,92,27,60,5,55,4,48,3,
1280,2007,松原市,220700,吉林省,中部,0,94,18,69,7,79,4,71,4,
1281,2008,松原市,220700,吉林省,中部,0,46,17,28,1,83,6,69,8,
1282,2009,松原市,220700,吉林省,中部,0,94,21,67,6,48,6,41,1,
1283,2010,松原市,220700,吉林省,中部,0,115,34,81,0,91,3,82,6,
1284,2011,松原市,220700,吉林省,中部,0,123,21,83,19,110,13,91,6,
1285,2012,松原市,220700,吉林省,中部,0,157,42,105,10,106,10,76,20,
1286,2013,松原市,220700,吉林省,中部,0,133,40,72,21,141,6,117,18,
1287,2014,松原市,220700,吉林省,中部,0,163,35,103,25,107,7,89,11,
1288,2015,松原市,220700,吉林省,中部,0,208,44,140,24,182,15,133,34,
1289,2016,松原市,220700,吉林省,中部,0,325,81,190,54,210,19,144,47,
1290,2017,松原市,220700,吉林省,中部,0,401,114,244,43,231,17,174,40,
1291,2018,松原市,220700,吉林省,中部,0,389,95,241,53,268,10,222,36,
1292,2019,松原市,220700,吉林省,中部,0,769,293,414,62,306,6,238,62,
1293,2020,松原市,220700,吉林省,中部,0,979,147,772,60,598,8,520,70,
1294,2021,松原市,220700,吉林省,中部,0,802,123,602,77,997,28,890,79,
1295,2022,松原市,220700,吉林省,中部,0,664,92,477,95,655,34,540,81,
1296,2023,松原市,220700,吉林省,中部,0,322,91,189,42,567,31,455,81,
1297,2000,白城市,220800,吉林省,中部,0,20,5,15,0,15,2,11,2,
1298,2001,白城市,220800,吉林省,中部,0,21,7,12,2,22,1,20,1,
1299,2002,白城市,220800,吉林省,中部,0,57,7,39,11,15,0,10,5,
1300,2003,白城市,220800,吉林省,中部,0,40,3,34,3,43,1,35,7,
1301,2004,白城市,220800,吉林省,中部,0,41,5,34,2,38,2,31,5,
1302,2005,白城市,220800,吉林省,中部,0,41,7,32,2,33,3,30,0,
1303,2006,白城市,220800,吉林省,中部,0,61,15,37,9,44,2,38,4,
1304,2007,白城市,220800,吉林省,中部,0,55,10,33,12,46,3,37,6,
1305,2008,白城市,220800,吉林省,中部,0,73,11,60,2,55,3,39,13,
1306,2009,白城市,220800,吉林省,中部,0,55,10,45,0,69,5,63,1,
1307,2010,白城市,220800,吉林省,中部,0,93,23,57,13,74,4,60,10,
1308,2011,白城市,220800,吉林省,中部,0,111,30,72,9,85,10,69,6,
1309,2012,白城市,220800,吉林省,中部,0,141,42,81,18,105,15,68,22,
1310,2013,白城市,220800,吉林省,中部,0,141,44,84,13,111,7,93,11,
1311,2014,白城市,220800,吉林省,中部,0,178,46,102,30,138,12,110,16,
1312,2015,白城市,220800,吉林省,中部,0,213,59,132,22,153,15,107,31,
1313,2016,白城市,220800,吉林省,中部,0,241,69,152,20,161,19,123,19,
1314,2017,白城市,220800,吉林省,中部,0,345,64,261,20,183,25,139,19,
1315,2018,白城市,220800,吉林省,中部,0,356,51,258,47,298,20,259,19,
1316,2019,白城市,220800,吉林省,中部,0,542,94,402,46,341,12,271,58,
1317,2020,白城市,220800,吉林省,中部,0,633,105,485,43,547,16,476,55,
1318,2021,白城市,220800,吉林省,中部,0,694,155,506,33,574,31,505,38,
1319,2022,白城市,220800,吉林省,中部,0,750,233,478,39,679,59,586,34,
1320,2023,白城市,220800,吉林省,中部,0,251,80,150,21,492,60,395,37,
1321,2000,哈尔滨市,230100,黑龙江省,中部,0,1076,263,666,147,1089,101,823,165,
1322,2001,哈尔滨市,230100,黑龙江省,中部,0,1186,307,723,156,960,109,694,157,
1323,2002,哈尔滨市,230100,黑龙江省,中部,0,1524,382,867,275,959,77,688,194,
1324,2003,哈尔滨市,230100,黑龙江省,中部,0,1831,623,972,236,1208,111,829,268,
1325,2004,哈尔滨市,230100,黑龙江省,中部,0,2072,808,986,278,1245,176,825,244,
1326,2005,哈尔滨市,230100,黑龙江省,中部,0,2399,1050,1089,260,1332,210,899,223,
1327,2006,哈尔滨市,230100,黑龙江省,中部,0,2737,1235,1180,322,1744,397,1097,250,
1328,2007,哈尔滨市,230100,黑龙江省,中部,0,3209,1628,1263,318,2099,496,1324,279,
1329,2008,哈尔滨市,230100,黑龙江省,中部,0,3980,2162,1479,339,2432,572,1556,304,
1330,2009,哈尔滨市,230100,黑龙江省,中部,0,4617,2483,1736,398,2738,889,1461,388,
1331,2010,哈尔滨市,230100,黑龙江省,中部,0,5448,3013,1967,468,3693,1209,2019,465,
1332,2011,哈尔滨市,230100,黑龙江省,中部,0,9425,3428,2957,3040,5873,1589,2504,1780,
1333,2012,哈尔滨市,230100,黑龙江省,中部,0,13349,5429,5105,2815,8315,2025,3254,3036,
1334,2013,哈尔滨市,230100,黑龙江省,中部,0,14577,7740,5384,1453,10885,1947,6509,2429,
1335,2014,哈尔滨市,230100,黑龙江省,中部,0,17912,10422,6373,1117,9151,2046,6081,1024,
1336,2015,哈尔滨市,230100,黑龙江省,中部,0,20882,11680,7905,1297,11916,3306,7280,1330,
1337,2016,哈尔滨市,230100,黑龙江省,中部,0,18934,9420,8343,1171,12672,3719,7770,1183,
1338,2017,哈尔滨市,230100,黑龙江省,中部,0,16827,7768,7998,1061,12120,4272,6854,994,
1339,2018,哈尔滨市,230100,黑龙江省,中部,0,18390,9798,7447,1145,12102,3637,7408,1057,
1340,2019,哈尔滨市,230100,黑龙江省,中部,0,21619,10612,9339,1668,11926,3432,7235,1259,
1341,2020,哈尔滨市,230100,黑龙江省,中部,0,25082,10554,12859,1669,15691,3747,10141,1803,
1342,2021,哈尔滨市,230100,黑龙江省,中部,0,27170,11923,13487,1760,22316,5061,15313,1942,
1343,2022,哈尔滨市,230100,黑龙江省,中部,0,24645,11939,11016,1690,23212,7091,14420,1701,
1344,2023,哈尔滨市,230100,黑龙江省,中部,0,14411,8703,4693,1015,17922,6507,9661,1754,
1345,2000,齐齐哈尔市,230200,黑龙江省,中部,0,131,40,81,10,129,19,99,11,
1346,2001,齐齐哈尔市,230200,黑龙江省,中部,0,179,59,92,28,113,10,83,20,
1347,2002,齐齐哈尔市,230200,黑龙江省,中部,0,189,69,111,9,116,12,85,19,
1348,2003,齐齐哈尔市,230200,黑龙江省,中部,0,201,56,131,14,152,24,113,15,
1349,2004,齐齐哈尔市,230200,黑龙江省,中部,0,178,38,132,8,141,29,106,6,
1350,2005,齐齐哈尔市,230200,黑龙江省,中部,0,209,42,148,19,166,27,128,11,
1351,2006,齐齐哈尔市,230200,黑龙江省,中部,0,286,62,210,14,190,25,148,17,
1352,2007,齐齐哈尔市,230200,黑龙江省,中部,0,401,82,269,50,251,19,220,12,
1353,2008,齐齐哈尔市,230200,黑龙江省,中部,0,435,109,309,17,393,32,315,46,
1354,2009,齐齐哈尔市,230200,黑龙江省,中部,0,504,124,286,94,381,35,322,24,
1355,2010,齐齐哈尔市,230200,黑龙江省,中部,0,473,155,288,30,437,35,298,104,
1356,2011,齐齐哈尔市,230200,黑龙江省,中部,0,1225,174,551,500,686,56,382,248,
1357,2012,齐齐哈尔市,230200,黑龙江省,中部,0,1668,220,905,543,1237,99,627,511,
1358,2013,齐齐哈尔市,230200,黑龙江省,中部,0,1415,246,909,260,1690,80,1090,520,
1359,2014,齐齐哈尔市,230200,黑龙江省,中部,0,1326,334,866,126,1152,78,976,98,
1360,2015,齐齐哈尔市,230200,黑龙江省,中部,0,1551,357,1054,140,1300,135,1001,164,
1361,2016,齐齐哈尔市,230200,黑龙江省,中部,0,1733,356,1295,82,1303,149,1067,87,
1362,2017,齐齐哈尔市,230200,黑龙江省,中部,0,1991,377,1447,167,1412,157,1135,120,
1363,2018,齐齐哈尔市,230200,黑龙江省,中部,0,1841,545,1121,175,1590,139,1286,165,
1364,2019,齐齐哈尔市,230200,黑龙江省,中部,0,2290,504,1603,183,1433,151,1138,144,
1365,2020,齐齐哈尔市,230200,黑龙江省,中部,0,3348,645,2402,301,2308,134,1878,296,
1366,2021,齐齐哈尔市,230200,黑龙江省,中部,0,3046,662,2064,320,3235,212,2698,325,
1367,2022,齐齐哈尔市,230200,黑龙江省,中部,0,2466,657,1559,250,2608,277,2048,283,
1368,2023,齐齐哈尔市,230200,黑龙江省,中部,0,1209,520,560,129,1796,316,1248,232,
1369,2000,鸡西市,230300,黑龙江省,中部,0,84,13,58,13,67,5,50,12,
1370,2001,鸡西市,230300,黑龙江省,中部,0,55,5,45,5,69,5,59,5,
1371,2002,鸡西市,230300,黑龙江省,中部,0,77,12,55,10,59,4,49,6,
1372,2003,鸡西市,230300,黑龙江省,中部,0,74,14,40,20,61,8,44,9,
1373,2004,鸡西市,230300,黑龙江省,中部,0,79,15,55,9,61,3,40,18,
1374,2005,鸡西市,230300,黑龙江省,中部,0,75,11,57,7,67,9,50,8,
1375,2006,鸡西市,230300,黑龙江省,中部,0,90,21,57,12,66,6,53,7,
1376,2007,鸡西市,230300,黑龙江省,中部,0,102,33,63,6,81,4,65,12,
1377,2008,鸡西市,230300,黑龙江省,中部,0,119,27,72,20,90,8,76,6,
1378,2009,鸡西市,230300,黑龙江省,中部,0,119,32,78,9,102,13,74,15,
1379,2010,鸡西市,230300,黑龙江省,中部,0,124,37,74,13,111,4,89,18,
1380,2011,鸡西市,230300,黑龙江省,中部,0,347,39,118,190,216,12,87,117,
1381,2012,鸡西市,230300,黑龙江省,中部,0,548,40,171,337,443,19,123,301,
1382,2013,鸡西市,230300,黑龙江省,中部,0,445,58,211,176,476,9,228,239,
1383,2014,鸡西市,230300,黑龙江省,中部,0,334,68,217,49,375,16,273,86,
1384,2015,鸡西市,230300,黑龙江省,中部,0,258,70,160,28,199,16,147,36,
1385,2016,鸡西市,230300,黑龙江省,中部,0,360,81,207,72,276,30,195,51,
1386,2017,鸡西市,230300,黑龙江省,中部,0,381,101,237,43,236,13,171,52,
1387,2018,鸡西市,230300,黑龙江省,中部,0,480,148,261,71,304,19,234,51,
1388,2019,鸡西市,230300,黑龙江省,中部,0,458,96,269,93,313,21,215,77,
1389,2020,鸡西市,230300,黑龙江省,中部,0,818,204,521,93,486,53,317,116,
1390,2021,鸡西市,230300,黑龙江省,中部,0,820,182,535,103,782,57,620,105,
1391,2022,鸡西市,230300,黑龙江省,中部,0,653,141,451,61,707,52,594,61,
1392,2023,鸡西市,230300,黑龙江省,中部,0,268,96,148,24,473,59,357,57,
1393,2000,鹤岗市,230400,黑龙江省,中部,0,42,22,17,3,32,4,23,5,
1394,2001,鹤岗市,230400,黑龙江省,中部,0,34,9,23,2,26,2,23,1,
1395,2002,鹤岗市,230400,黑龙江省,中部,0,49,14,33,2,24,1,22,1,
1396,2003,鹤岗市,230400,黑龙江省,中部,0,49,13,29,7,40,1,31,8,
1397,2004,鹤岗市,230400,黑龙江省,中部,0,47,7,34,6,34,5,28,1,
1398,2005,鹤岗市,230400,黑龙江省,中部,0,39,8,27,4,42,4,30,8,
1399,2006,鹤岗市,230400,黑龙江省,中部,0,56,6,47,3,32,0,28,4,
1400,2007,鹤岗市,230400,黑龙江省,中部,0,67,19,46,2,51,3,46,2,
1401,2008,鹤岗市,230400,黑龙江省,中部,0,58,7,46,5,60,3,56,1,
1402,2009,鹤岗市,230400,黑龙江省,中部,0,71,9,48,14,57,4,44,9,
1403,2010,鹤岗市,230400,黑龙江省,中部,0,72,14,55,3,78,3,62,13,
